x,y
-1678.62301,-11708.11158
-1994.6557,-9204.588681
-2326.940354,-11148.10912
-3339.231432,-5728.151212
-1937.827714,-10979.21676
-891.6860281,-12642.57719
-1379.441863,-8193.457004
-3104.025327,-2482.13974
-3088.114176,-2942.957913
-5333.03885,-6184.904417
-4667.859272,-4193.464958
-1597.067062,-12394.68059
-2824.92894,-8410.939198
-1816.21698,-7585.558995
-1232.811037,-9314.285344
-2374.777393,-11388.07866
-5573.54724,-9866.49249
-1777.017064,-12030.12259
-4200.470186,-6343.412927
-1464.382377,-12229.32177
-4860.080297,-5507.172072
-6120.146237,-5949.768882
-1550.766516,-8408.360613
-960.2218386,-9138.958327
-4383.944492,-6158.207806
-2009.294631,-9606.220376
-1533.639552,-10561.34776
-1647.57845,-3186.193855
-3244.945156,-7207.642588
-4619.872826,-5182.056255
-1810.641448,-7567.192862
-1965.41647,-7393.520574
-4794.788549,-9180.940136
-3429.412478,-10398.48361
-7402.380442,-7112.111612
-3433.220894,-10407.14844
-3088.067859,-10336.43535
-3932.083383,-5957.882094
-3824.597211,-11628.15113
-1557.966663,-3953.918706
-1517.289464,-11331.42354
-1871.471594,-3439.574274
-2810.378632,-7623.314606
-1677.58389,-5920.379644
-3196.06075,-13115.8919
-1787.540537,-4477.90033
-1115.547783,-11692.5614
-722.231049,-5039.458759
-4048.305233,-10569.14095
-5118.749374,-6923.83129
-6084.442112,-8001.255151
-2564.515167,-4559.942349
-5080.769102,-7716.747084
-4023.652241,-10270.06613
-1954.50912,-13926.12024
-1368.886019,-4340.881636
-2166.989365,-9554.693084
-1558.297271,-3761.530977
-1977.27409,-10846.97779
-4344.94742,-11207.64975
-3817.248816,-5693.185119
-1562.418214,-7157.852366
-4645.869227,-10840.25896
-1229.323759,-9239.698713
-6279.715858,-7261.390006
-4241.465559,-4977.099502
-6874.021148,-7451.987936
-4875.385803,-10188.80232
-3435.860183,-10300.50281
-3755.781088,-5806.356357
-4596.252155,-4501.491651
-1076.509117,-2262.383097
-2096.132722,-3264.434223
-3561.642025,-11541.23705
-7050.52006,-6930.466093
-5832.155273,-6861.190837
-5623.39142,-6362.498978
-1020.084671,-5718.875548
-947.3127458,-7428.493234
-54.11991775,-5213.981119
-4417.265996,-11382.84519
-2294.663391,-14120.72241
-2565.793869,-6954.532964
-3512.587226,-11585.8502
-985.2890534,-8468.030903
-5597.694866,-7569.797664
-5401.627079,-6633.125179
-5687.215185,-9265.198347
-5955.424404,-7216.453893
-2316.827862,-3456.978637
-2538.609567,-2751.784608
-6631.002868,-7544.781685
-2823.609812,-6715.241494
-4573.349507,-10546.41392
-1917.288801,-7919.636105
-1759.137656,-2611.852551
-992.3121648,-4998.272585
-6781.344945,-6567.796176
-4956.791505,-7094.837487
-4977.905716,-9586.989074
-4970.523198,-9323.610963
-476.2959133,-5611.944664
-4060.827358,-10491.22539
-685.8589136,-3496.02292
-506.4059433,-12991.53183
-4713.713467,-5330.221464
-1488.119806,-10704.79858
-3888.450817,-7608.127892
-2011.539283,-2369.917515
-3910.113865,-9072.636161
-1389.458039,-6947.020467
-1696.444346,-5772.464379
-2722.69921,-12015.93738
-1828.564837,-11196.92986
-5686.66524,-8474.64966
-5779.832785,-8407.813365
-4545.742499,-11701.37822
-932.2749055,-4120.707657
-3579.170466,-10652.26404
-3124.70263,-5238.602434
-2755.115345,-9191.844192
-601.8110797,-13219.06106
-667.3977399,-7809.180888
-1136.024195,-5338.743258
-5431.171571,-7974.990107
-3768.555242,-5243.754592
-4539.498797,-6406.849876
-6514.894799,-7715.96363
-7295.304483,-6190.059255
-3891.572081,-4920.248797
-4816.792816,-5115.407413
-4676.930655,-5080.773539
-4546.277538,-5260.489883
-1031.446383,-5347.584181
-4701.832911,-7332.382302
-3258.250435,-9144.328966
-3900.54792,-9185.535246
-4375.65488,-5525.233349
-3880.178015,-11142.79809
-195.6972143,-12235.94372
-4859.879705,-4886.057703
-3514.223583,-9080.260126
-2238.880024,-12494.33927
-3925.406629,-10104.78283
-3307.010171,-9969.412616
-5564.208057,-9020.693364
-2532.988162,-4191.4724
-2970.206878,-11890.23631
-1425.546345,-6823.613001
-964.6714315,-12228.05567
-2688.458001,-8468.439389
-4972.24319,-8567.288569
-7033.567851,-7359.675329
-3124.071664,-8860.450591
-6288.830198,-8261.028316
-2104.335512,-7684.216709
-3089.257665,-6044.75405
-1607.241426,-6786.8941
-2535.117384,-4346.359496
-3002.37981,-12770.2727
-4380.046936,-4878.811525
-4996.797748,-5109.900801
-1195.046436,-12606.17788
-3309.664618,-11398.06599
-4168.313829,-11318.69767
-5123.496105,-9258.55055
-1333.355514,-4784.18792
-2991.709609,-5299.404967
-1967.117389,-3861.192141
-3174.281782,-8292.638459
-1730.240292,-13011.88238
-1277.507497,-2360.390871
-3242.345055,-9952.901308
-1019.486632,-4839.226443
-1158.817468,-9108.868641
-2937.979052,-3512.319266
-2973.794091,-2361.73567
-3134.453719,-10177.18853
-1951.017379,-6116.203305
-5536.549642,-7400.553301
-2259.648652,-3566.371588
-1669.453626,-9435.783608
-1436.999529,-7045.67176
-4976.670779,-11143.29828
-3221.334729,-8300.309096
-1534.455794,-7975.871351
-3486.790139,-11248.05997
-2360.989676,-9498.205296
-1862.581548,-2035.816924
-2475.205861,-7286.749726
-799.2527348,-4596.886992
-1023.250358,-6845.945312
-1644.992035,-8972.612633
-572.370943,-7611.988923
-1971.457958,-3875.877009
-2441.372938,-6570.410577
-2436.290699,-11763.1538
-2060.391137,-9599.393715
-2512.784273,-5669.008894
-1273.966341,-5500.329103
-1552.133806,-13270.02279
-3880.299199,-6817.404444
-882.6781251,-13448.45939
-5208.081155,-5917.912113
-2068.357004,-7652.024988
-4290.158799,-9298.4837
-1051.265596,-7334.642606
-4478.642306,-10729.99392
-956.4599446,-4333.358006
-1238.101462,-13726.14973
-4178.552586,-10181.01366
-403.6008434,-12952.51284
-4009.896212,-8863.591568
-3321.850326,-9971.001086
-4624.082434,-6162.944685
-428.124998,-12695.93532
-2704.956786,-9479.277642
-4048.155597,-8813.282544
-1065.406167,-5720.524034
-4686.224366,-5939.531364
-1464.580292,-11228.7133
-5650.251182,-5929.345358
-1224.592021,-12938.43492
-1461.310995,-12328.02032
-5195.983905,-8489.398948
-4690.101706,-8826.051555
-5104.042689,-7302.769236
-1894.957084,-7574.678221
-4690.036811,-7520.816248
-1142.325426,-12926.16306
-2026.003817,-6530.808728
-4378.189717,-6249.503368
-1839.230632,-10847.32229
-7276.426789,-7833.478796
-1270.545604,-2141.826058
-4182.244874,-5147.759062
-3190.465648,-2672.907069
-5160.736007,-5173.889039
-2999.592826,-8519.823382
-5694.504936,-7670.555318
-4113.970758,-6384.47857
-3306.51838,-9983.60537
-7170.968723,-6953.106612
-1916.782756,-5159.506723
-5863.671287,-8634.075306
-2866.351532,-3406.097992
-1828.348231,-7234.350294
-1690.142092,-2270.023216
-2859.605398,-5537.985831
-4033.952466,-7399.03124
-4356.794332,-4333.584214
-1783.80008,-11037.10271
-3302.312498,-10525.18958
-2625.188594,-3500.836701
-3955.982706,-6887.721395
-4831.399929,-8394.048236
87.01069838,-4935.126218
-4163.013795,-11555.4586
-507.161929,-4024.568314
-1350.446484,-13309.28379
-474.0839819,-8054.589875
-2529.569767,-8612.588242
-3380.426031,-6862.776354
-2055.340661,-3412.389545
-2862.261173,-2278.002722
-2424.105735,-5808.408078
-4257.801724,-7728.074112
-4123.728996,-6707.592687
-1378.253634,-9756.621486
-3247.04568,-6450.778394
-4415.192346,-8006.173266
-3100.939407,-10780.98636
-3218.438524,-9448.898699
-1341.698007,-2328.177259
-2195.512279,-7973.101128
-3255.120082,-3102.328117
-2267.511461,-6581.28578
-4418.167446,-4047.354788
-1931.960269,-8254.959312
-2672.326262,-5230.547263
-5080.9213,-7713.108421
-1996.801981,-5286.046814
-1152.552858,-14403.7477
-2228.481282,-12014.33087
-1271.301865,-8894.1032
-3739.472169,-9835.355869
-4147.145446,-9465.887338
-529.3596249,-8376.279397
-1636.475663,-6746.917039
-2140.52673,-12779.65662
-2142.923805,-7162.117166
