x,y
-3513.58,-11325.305
-3878.86,-10861.805
-3733.257,-11267.494
-3674.723,-11131.031
-3982.367,-11335.532
-3804.555,-11122.629
-3777.005,-11498.958
-4197.562,-11034.105
-4418.801,-11025.225
-3985.083,-10646.077
-1689.07,-11554.75
-1697.421,-11682.863
-4418.801,-11025.225
-4304.227,-11068.955
-3813.1,-11538.81
-4100.101,-6458.434
-3971.571,-11304.543
-3971.571,-11304.543
-4253.162,-11081.996
-3550.9,-11467.85
-3437.099,-4010.169
-1846.451,-11756.277
-1747.02,-11670.525
-1846.451,-11756.277
-1823.665,-11785.939
-4183.929,-11657.15
-4183.929,-11657.15
-1991.153,-11695.849
-2451.579,-11863.24
-3809.3,-11438.13
-2985.905,-12478.886
-2452.253,-12713.862
-3064.959,-12555.513
-3015.275,-12397.911
-1852.611,-11641.017
-1668.32,-13499.26
-1707.78,-13529.23
-1765.131,-11645.551
-4189.241,-11567.835
-2934.732,-12583.976
-2974.579,-12389.017
-2051.99,-12069.15
-3935.533,-11354.29
-1606.07,-13475.73
-3092.844,-12466.054
-1668.18,-13610.62
-1707.78,-13529.23
-1626.668,-5059.092
-1626.668,-5059.092
-1059.191,-4280.05
-1747.91,-11705.403
-1431.017,-8962.741
-1840.37,-13246.36
-4029.639,-11638.657
-1839.42,-13526.81
-899.328,-13021.856
-2357.352,-11967.856
-1817.86,-13579.16
12258.35,11939.194
-1620.07,-13477.42
-1749.24,-13621.84
-2043.609,-11954.058
-2815.907,-2898.228
-2815.907,-2898.228
-2801.25,-2852.076
-1620.07,-13477.42
-3917.054,-4096.757
-3899.642,-7637.613
-1360.841,-13462.226
-3899.642,-7637.613
-1864.054,-12061.652
-3316.399,-3366.726
-3326.924,-7298.359
-3302.137,-7295.162
-1973.905,-11907.336
-2156.941,-11868.758
-1764.1,-13597.8
-1081.404,-12229.257
-1578.089,-11854.983
-2149.026,-2783.104
-1480.569,-13747.486
-1819.985,-2482.737
-3185.161,-7711.652
-1307.02,-12335.32
-4844.013,-9202.538
-4669.532,-9004.847
-5265.007,-9644.935
-3270.28,-7128.3
-4687.291,-9024.495
-2358.91,-2229.88
-5639.5,-8732.03
-4897.814,-10987.371
-2481.181,-3850.214
-4715.968,-9097.345
-4674.494,-10688.908
-5716.166,-8586.878
-3774.676,-10403.844
-3665.586182,-4918.61731
-1417.654,-8737.621
-5670.457,-9037.967
-1974.219,-1932.245
-3812.292,-9835.78
-4154.746,-11329.005
-6183.464,-8127.093
-5291.338,-9531.914
-1351.433,-8995.391
-3282.256,-7020.039
-3812.292,-9835.78
-1605.479,-5381.636
-3997.788,-11226.027
-2751.669,-10362.365
-3812.292,-9835.78
-1698.274,-12642.297
-1227.535,-13254.774
-2995.294,-10773.557
-3873.13,-4178.159
-4674.843,-6348.433
-4238.676,-10588.328
-6855.42,-8825.28
-5844.242,-5790.249
-2453.535,-5720.227
-2348.645,-5935.963
-2048.526,-3976.71
-3453.206,-9944.348
-5981.697,-7504.883
-5871.82,-7606.839
-5871.82,-7606.839
-6982.67,-8667.58
-2614.17,-5597.1
-7076.504,-8665.492
-6777.533,-8799.295
-3900.058,-11156.53
-3735.29,-11527.76
-363.745,-4362.477
-1067.147,-4021.418
-363.745,-4362.477
-5889.897,-7431.236
-6052.679,-7551.339
-4725.38,-7027.54
-5747.803,-6136.89
-1444.9,-3782.624
-1738.639,-5368.852
-4741.355,-10635.066
-5855.488,-5794.145
-5912.965,-5806.263
-6906.904,-8525.626
-3010.189,-10666.09
-3244.259,-10953.114
-6052.679,-7551.339
-4195.911,-10574.15
-4757.69,-6738.804
-5871.82,-7606.839
-5783.245,-5809.753
-6995.669,-8637.103
-6729.67,-8653.3
-6513.513,-8558.235
-5112.5,-10825.39
-6934.133,-8846.371
-3453.206,-9944.348
-5019.531,-10877.864
-2955.729,-10761.668
-1353.961,-4915.531
-1353.961,-4915.531
-3899.422,-9620.902
-1472.227,-7319.496
-3121.011,-10769.656
-2949.14,-11116.023
-2684.89,-10823.3
-2842.854919,-10065.54181
-1486.684,-12871.709
-3732.551,-9951.339
-2511.438,-5880.49
-2525.55,-5963.32
-1323.702,-13202.844
-2832.827,-10091.146
-3967.156,-9647.17
-1974.098,-2155.328
-2779.406,-10503.707
-2779.406,-10503.707
-7142.29,-8785.69
-2229.496,-5313.397
-5690.392,-6094.201
-5252.321,-10745.5
-1968.42,-2096.88
-1770.029,-2028.223
-1541.325,-4266.093
-5361.54,-8597.5
-6682.917,-8620.674
-1819.795,-2376.328
-3962.279,-4317.761
-5465.699,-9696.67
-5269.57,-9615.54
-5379.834,-9745.842
-5871.82,-7606.839
-5568.37,-9768.24
-6035.814,-8226.855
-6135.577,-8209.457
-6946.73,-8621.81
-7348.767,-6614.991
-6817.2097,-8477.4685
-1525.504,-3791.356
-1891.457,-11574.183
-5419.561,-10538.27
-4978.822,-9224.514
-4833.977,-9191.308
-4943.930969,-9001.504395
-5687.13,-8636.46
-5515.77,-9302.263
-5145.693,-8230.259
-2427.438,-5272.487
-6159.06,-8347.15
-1376.858,-2587.066
-1689.07,-11554.75
-993.151,-12578.558
-942.94,-12541.961
-1486.684,-12871.709
-1731.87,-13371.63
-1345.192,-9121.154
-1615.18,-8938.14
-1818.09,-8532.07
-1892.702,-8623.172
-1592.666,-4606.04
-2494.283,-4681.627
-4799.313,-4687.2
-1379.958,-12309.763
-2669.992,-2749.638
-2534.216,-6725.049
-5093.838,-8791.032
-500.63,-3731.083
-782.161,-4226.64
-906.979,-3870.81
-2935.88,-6835.895
-5291.67,-10358.9
-4239.251,-8176.393
-1058.15,-12833.964
-1133.878,-2526.714
-5273.288,-10895.157
-35833.02,-4250.506
-2729.032,-10509.633
-2729.032,-10509.633
-3152.572,-11008
-4179.627,-10710.899
-3453.206,-9944.348
-2147.096,-10527.029
-4191.76,-7654.49
-2268.986,-2598.041
-1366.48,-2565.78
-1485.54,-2311.25
-3799.005,-5977.093
-2562.14,-10924.547
-1648.958,-12041.357
-911.341,-12928.88
-916.719,-12954.216
-4879.951,-9241.74
-2616.813,-4487.957
-4744.989,-11041.129
-5547.287,-9913.252
-4803.099,-9198.959
-4798.617,-11481.012
-2649.807,-11110.468
-846.033,-3810.755
-804.314,-4596.675
-2646.658,-7740.926
-5335.217,-8699.508
-2576.411,-2172.175
-3052.132,-3902.468
-4226.582,-11186.178
-1511.81,-13083.26
-570.29,-3661.229
-338.508,-4100.245
-199.8480835,-4144.022583
-1014.12,-4035.31
-3175.169,-3412.47
-2839.829,-6424.727
-2945.387,-6409.505
-4115.381,-7826.196
-4343.846,-7867.274
-2060.94,-1990.46
-2266.242,-11145.711
-4266.027,-6740.982
-5036.483,-6008.623
-5293.842,-6086.243
-3202.288,-11205.938
-2324.51,-8471.97
-2707.191,-6562.305
-1486.684,-12871.709
-4224.796,-9403.169
-558.678,-3684.32
-912.467,-3793.698
-2668.168,-2344.555
-1828.732,-6825.224
-4404.785,-10684.448
-1383.858,-2585.996
-2842.865,-3377.914
-2166.771,-3167.989
-1187.409,-3491.787
-367.761,-3771.387
-2045.233,-3084.355
-1660.603,-2661.336
-2640,-3010.433
-4652.461,-11268.385
-4545.703,-11482.01
-4661.31,-11174.445
-4391.769,-11049.807
-4418.801,-11025.225
-4302.446,-11190.556
-3392.327,-10103.364
-3867.722,-11245.758
-2666.356,-2749.444
-1274.02,-3845.4
-2322.226,-10423.419
-1955.099,-10612.188
-3310.458,-9563.5
-2453.535,-5720.227
-1707.787,-3315.326
-5005.5,-6744.8
-2199.058,-3216.969
-2606.567,-3161.534
-3211.735,-3645.523
790.533,-909.001
-2218.619,-5232.962
-2493.398,-4391.107
-3409.79,-5671.18
-4236.005,-4765.128
-3845.143,-4806.534
-3894.27,-4046.179
-1966.731,-5228.841
-1978.975,-5185.977
-2456.568,-8714.006
-1514.195,-14001.287
-3843.435,-5653.109
-3843.435,-5653.109
-2166.771,-3167.989
-2068.18,-3024.041
-2025.375,-3051.838
-2048.688,-2991.619
